OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
137|2.721380,-108.731954,48.584491|2.720626,-108.735614,48.684424,10.334091,8.679027,0.228007|2.720632,-108.737121,48.684357,10.332758,8.677894,0.222885
138|2.741390,-110.236608,46.633656|2.740633,-110.240155,46.733593,9.432111,7.881618,0.228123|2.740638,-110.241747,46.733524,9.430689,7.880418,0.222916
139|2.761400,-111.685970,44.633760|2.760639,-111.689403,44.733701,8.563360,7.121133,0.228235|2.760645,-111.691081,44.733629,8.561845,7.119864,0.222946
140|2.781410,-113.077620,42.586313|2.780646,-113.080938,42.686258,7.729288,6.397875,0.228343|2.780652,-113.082702,42.686184,7.727679,6.396536,0.222974
141|2.801420,-114.409191,40.492950|2.800653,-114.412392,40.592899,6.931314,5.712133,0.228445|2.800659,-114.414245,40.592822,6.929609,5.710721,0.223001
142|2.821430,-115.678380,38.355428|2.820660,-115.681462,38.455381,6.170819,5.064180,0.228543|2.820666,-115.683407,38.455302,6.169015,5.062694,0.223026
143|2.841440,-116.882957,36.175624|2.840667,-116.885919,36.275580,5.449139,4.454274,0.228635|2.840673,-116.887955,36.275499,5.447234,4.452712,0.223049
144|2.861451,-118.020772,33.955531|2.860675,-118.023613,34.055491,4.767562,3.882658,0.228723|2.860680,-118.025742,34.055408,4.765553,3.881019,0.223071
145|2.881461,-119.089766,31.697260|2.880683,-119.092484,31.797223,4.127321,3.349560,0.228805|2.880688,-119.094708,31.797138,4.125207,3.347841,0.223092
146|2.901471,-120.087978,29.403028|2.900691,-120.090572,29.502995,3.529590,2.855190,0.228882|2.900696,-120.092892,29.502908,3.527370,2.853391,0.223112
147|2.921481,-121.013554,27.075160|2.920699,-121.016024,27.175130,2.975480,2.399745,0.228954|2.920704,-121.018441,27.175041,2.973151,2.397865,0.223130
148|2.941491,-121.864757,24.716080|2.940707,-121.867100,24.816052,2.466030,1.983405,0.229020|2.940712,-121.869615,24.815962,2.463592,1.981443,0.223146
149|2.961501,-122.639969,22.328305|2.960716,-122.642185,22.428281,2.002207,1.606336,0.229080|2.960720,-122.644800,22.428189,1.999659,1.604291,0.223161
150|2.981511,-123.337706,19.914443|2.980724,-123.339794,20.014421,1.584901,1.268685,0.229135|2.980728,-123.342509,20.014327,1.582242,1.266556,0.223175
151|3.001522,-123.956620,17.477179|3.000733,-123.958578,17.577160,1.214916,0.970586,0.229183|3.000737,-123.961394,17.577065,1.212146,0.968373,0.223188
152|3.021532,-124.495503,15.019273|3.020742,-124.497332,15.119256,0.892974,0.712156,0.229226|3.020746,-124.500249,15.119160,0.890092,0.709857,0.223199
153|3.041542,-124.953301,12.543550|3.040751,-124.954999,12.643536,0.619705,0.493495,0.229263|3.040754,-124.958019,12.643439,0.616712,0.491111,0.223209
154|3.061552,-125.329109,10.052891|3.060760,-125.330676,10.152879,0.395647,0.314689,0.229294|3.060763,-125.333799,10.152781,0.392543,0.312220,0.223218
155|3.081562,-125.622184,7.550226|3.080770,-125.623620,7.650215,0.221244,0.175807,0.229319|3.080772,-125.626846,7.650117,0.218030,0.173253,0.223225
156|3.101572,-125.831942,5.038521|3.100779,-125.833246,5.138512,0.096843,0.076902,0.229337|3.100781,-125.836575,5.138413,0.093519,0.074263,0.223231
157|3.121583,-125.957964,2.520773|3.120789,-125.959136,2.620767,0.022690,0.018011,0.229350|3.120791,-125.962570,2.620667,0.019259,0.015287,0.223236
158|3.141593,-126.000000,0.000000|3.140799,-126.001040,0.099995,0.001066,0.000846,0.229356|3.140800,-126.004577,0.099895,0.004604,0.003654,0.223240
159|3.161603,-125.957964,-2.520773|3.160809,-125.958872,-2.420778,0.025621,0.020337,0.229356|3.160809,-125.962514,-2.420877,0.021979,0.017446,0.223242
160|3.181613,-125.831942,-5.038521|3.180819,-125.832717,-4.938524,0.102698,0.081548,0.229350|3.180819,-125.836463,-4.938623,0.098953,0.078575,0.223243
161|3.201623,-125.622184,-7.550226|3.200830,-125.622827,-7.450228,0.230009,0.182761,0.229337|3.200829,-125.626677,-7.450327,0.226165,0.179706,0.223243
162|3.221633,-125.329109,-10.052891|3.220840,-125.329621,-9.952893,0.407301,0.323931,0.229319|3.220838,-125.333574,-9.952991,0.403360,0.320797,0.223241
